0,2155
1,38
2,4
3,7
4,13
5,5
6,6
7,12
8,6
9,4
10,4
11,3
12,10
13,1
14,12
15,1
16,7
17,1
18,4
19,5
20,4
21,1
22,2
23,3
24,4
25,1
26,1
27,3
28,3
29,2
30,2
31,2
32,8
33,2
34,3
35,3
36,4
37,2
38,3
39,3
40,3
41,1
42,4
43,4
44,5
45,2
46,2
47,0
48,3
49,0
50,4
51,1
52,4
53,3
54,3
55,3
56,1
57,9
58,3
59,1
60,3
61,9
62,5
63,8
64,7
65,6
66,8
67,7
68,11
69,15
70,10
71,10
72,19
73,9
74,15
75,16
76,16
77,10
78,11
79,23
80,35
81,33
82,21
83,29
84,44
85,43
86,66
87,66
88,72
89,104
90,92
91,132
92,185
93,219
94,217
95,268
96,542
97,842
98,85
99,1549
100,2728
