Yield, Times
0,5625
1,0
2,3
3,508
4,401
5,99
6,194
7,245
8,175
9,165
10,188
11,149
12,124
13,173
14,145
15,128
16,104
17,113
18,92
19,107
20,64
21,84
22,79
23,74
24,82
25,54
26,64
27,62
28,47
29,52
30,46
31,60
32,40
33,49
34,31
35,27
36,32
37,29
38,32
39,34
40,12
41,21
42,20
43,15
44,16
45,12
46,12
47,10
48,13
49,5
50,10
51,4
52,12
53,3
54,6
55,4
56,6
57,3
58,4
59,3
60,2
61,5
62,6
63,6
64,1
65,2
66,1
67,1
68,0
69,2
70,0
71,0
72,0
73,3
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
